English1,M1,Physics,CP,EVS,Mechanics,English2,M2,PEM,Engg.Drawing,MEFA,CPP,DS,MFCS,DLD,Prob_Stat,Java,ADS,CO,FLAT,CD,Data_communication,PPL,DBMS,OS,Placed_Status
71,29,16,54,50,20,51,43,58,63,28,34,83,55,31,34,44,48,33,28,61,66,70,55,26,0
69,28,41,64,87,45,61,32,58,29,51,51,55,42,10,66,51,58,30,34,32,45,58,47,21,0
65,15,16,14,54,11,41,21,48,24,34,15,35,19,20,21,27,29,22,26,11,41,19,44,50,0
60,42,41,50,53,42,59,50,27,22,37,43,41,52,44,62,36,54,57,51,60,63,61,54,41,0
55,52,40,63,61,40,62,49,57,49,46,34,62,62,49,33,54,62,33,49,59,54,70,52,52,0
57,19,40,54,70,29,51,40,77,31,48,34,42,23,54,51,46,49,24,55,60,52,72,49,73,0
89,73,49,75,97,68,71,82,75,65,63,79,69,75,73,89,62,83,76,70,67,52,89,81,66,1
65,68,80,73,66,58,62,79,61,65,59,84,63,98,81,86,55,67,84,70,95,72,72,79,15,1
54,22,14,51,43,26,47,27,49,32,28,44,40,49,23,31,50,53,25,38,42,41,46,54,52,0
71,77,68,72,79,58,69,83,75,54,50,74,53,86,68,28,21,24,26,26,51,55,46,75,61,0
69,89,95,73,68,73,60,87,58,66,53,85,59,92,87,74,54,59,82,55,72,58,66,73,13,0
67,34,24,48,48,41,58,28,66,32,41,29,50,54,24,28,34,53,22,34,14,45,26,41,40,0
54,28,30,41,53,40,49,25,55,15,42,49,29,32,21,29,27,24,16,20,31,37,45,42,42,0
45,25,48,43,68,40,56,44,65,25,46,51,46,25,56,42,42,50,57,54,35,48,38,46,50,0
61,30,43,61,53,34,57,56,53,35,39,56,31,53,44,60,39,62,59,54,62,58,52,45,66,0
76,61,51,72,58,63,70,74,71,49,68,61,65,77,59,77,66,66,74,72,68,42,75,57,25,0
62,20,51,40,69,41,61,27,66,35,35,26,28,15,35,53,56,66,38,42,31,45,23,54,69,0
83,68,58,69,61,56,82,65,70,79,51,77,54,82,60,88,59,67,73,71,65,59,59,68,61,1
88,73,97,85,93,91,81,82,87,77,79,74,78,97,83,93,62,68,93,71,76,59,86,94,71,1
73,78,75,72,98,59,69,74,75,70,54,72,56,56,69,91,53,57,58,56,62,50,72,66,25,0
58,20,21,43,43,42,45,12,32,29,33,29,24,34,30,32,31,64,27,26,43,37,41,35,27,0
60,21,19,48,52,26,58,24,50,26,32,43,32,41,23,19,26,60,42,32,22,45,22,54,46,0
57,64,50,67,61,54,59,66,68,37,47,70,56,78,64,72,50,51,34,36,65,53,59,55,71,0
78,74,89,85,100,73,76,84,76,82,54,89,67,68,96,78,70,71,69,69,85,56,80,96,62,1
80,71,83,74,66,62,68,80,54,77,54,73,61,84,86,63,54,67,57,47,92,57,78,81,73,1
79,61,57,74,61,61,77,61,71,73,62,74,69,66,66,94,61,80,77,76,59,58,75,82,42,0
78,47,59,44,64,35,65,72,93,47,67,60,66,78,40,75,46,51,64,86,71,57,70,80,35,0
63,27,53,46,72,41,58,44,64,30,40,50,40,20,44,33,43,53,43,44,41,46,62,46,34,0
69,68,45,58,47,56,53,60,30,74,29,49,25,52,30,48,32,46,33,26,24,49,49,56,68,0
76,72,56,73,55,71,67,87,58,67,59,62,59,74,54,93,61,77,61,66,50,54,46,66,49,1
62,49,74,74,78,74,71,76,84,55,64,77,64,83,66,90,68,67,75,69,92,79,67,85,73,1
79,56,70,69,93,56,72,63,75,69,56,88,62,71,89,75,58,60,65,73,72,82,77,79,73,1
81,79,75,76,71,92,73,88,68,74,58,81,66,96,87,82,67,67,96,94,71,82,71,86,67,1
68,58,42,65,58,56,72,77,69,73,54,71,63,77,59,91,56,80,69,61,58,62,51,59,51,0
58,18,42,40,75,20,73,48,90,45,61,51,54,56,27,55,49,43,62,39,72,58,54,42,49,0
